"id","scientificName","sourceName","fos","ter","aqu","arb","diet_leaves","diet_flowers","diet_seed","diet_fruit","diet_inv","diet_vert","diurnal","nocturnal","crepuscular","wet_warm","wet_cold","dry_warm","dry_cold","bodymass_value","age_at_maturity_min_y","age_at_maturity_max_y","body_size_mm","size_at_maturity_min_mm","size_at_maturity_max_mm","longevity_max_y","litter_size_min_n","litter_size_max_n","reproductive_output_y","offspring_size_min_mm","offspring_size_max_mm","dir","lar","viv"
"ITIS:774203","Eleutherodactylus staurometopon","Eleutherodactylus staurometopon",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:207685","Eleutherodactylus symingtoni","Eleutherodactylus symingtoni",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:550375","Eleutherodactylus syristes","Eleutherodactylus syristes",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:550354","Eleutherodactylus teretistes","Eleutherodactylus teretistes",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"ITIS:663726","Eleutherodactylus tetajulia","Eleutherodactylus tetajulia",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,6,6,1,NA,NA,1,0,0
"ITIS:207691","Eleutherodactylus thomasi","Eleutherodactylus thomasi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663728","Eleutherodactylus thorectes","Eleutherodactylus thorectes",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,3,3,1,2,2.1,1,0,0
"ITIS:663733","Eleutherodactylus toa","Eleutherodactylus toa",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,28.2,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663735","Eleutherodactylus tonyi","Eleutherodactylus tonyi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207695","Eleutherodactylus turquinensis","Eleutherodactylus turquinensis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,24,24,1,NA,NA,1,0,0
