"id","sourceName","scientificName","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_5cat","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","nocturnal","bodymass_value"
"ITIS:558717","Aplonis insularis","Aplonis insularis",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,10,30,30,30,0,0,0,69.88
"ITIS:558716","Aplonis grandis","Aplonis grandis",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,0,50,50,0,0,0,0,134
"ITIS:558713","Aplonis dichroa","Aplonis dichroa",0,0,0,0,0,0,80,0,20,0,"FruiNect",0,0,0,50,50,0,0,0,0,84
"ITIS:558722","Aplonis mysolensis","Aplonis mysolensis",20,0,0,0,0,0,60,20,0,0,"FruiNect",0,0,0,0,20,80,0,0,0,68.66
"ITIS:558721","Aplonis minor","Aplonis minor",30,0,0,0,0,0,70,0,0,0,"FruiNect",0,0,0,33,33,33,0,0,0,42
"ITIS:558724","Aplonis panayensis","Aplonis panayensis",20,0,0,0,0,0,60,20,0,0,"FruiNect",0,0,10,30,30,30,0,0,0,56.2
"ITIS:558720","Aplonis metallica","Aplonis metallica",20,0,0,0,0,0,60,20,0,0,"FruiNect",0,0,33,33,33,0,0,0,0,56.49
"ITIS:558718","Aplonis magna","Aplonis magna",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,50,50,0,0,0,0,68.66
"ITIS:558723","Aplonis mystacea","Aplonis mystacea",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,0,100,0,0,0,68.66
"ITIS:915867","Aplonis brunneicapillus","Aplonis brunneicapillus",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,50,50,0,0,0,0,66.65
"ITIS:562366","Poeoptera stuhlmanni","Poeoptera stuhlmanni",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,60,40,0,0,0,39.3
"ITIS:562364","Poeoptera kenricki","Poeoptera kenricki",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,60,40,0,0,0,46.37
"ITIS:562365","Poeoptera lugubris","Poeoptera lugubris",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,0,0,0,100,0,0,0,38.79
"ITIS:560275","Grafisia torquata","Grafisia torquata",10,0,0,0,0,0,90,0,0,0,"FruiNect",0,0,0,50,50,0,0,0,0,64
"ITIS:561676","Onychognathus walleri","Onychognathus walleri",30,0,20,0,0,0,50,0,0,0,"Omnivore",0,0,33,33,33,0,0,0,0,93
"ITIS:561672","Onychognathus nabouroup","Onychognathus nabouroup",30,0,0,0,0,0,40,30,0,0,"FruiNect",0,0,33,33,33,0,0,0,0,102.43
"ITIS:561675","Onychognathus tristramii","Onychognathus tristramii",40,0,0,0,0,0,60,0,0,0,"FruiNect",0,0,0,50,50,0,0,0,0,122.73
"ITIS:561671","Onychognathus morio","Onychognathus morio",20,0,10,0,0,10,40,10,10,0,"Omnivore",0,0,20,30,30,20,0,0,0,132.9
"ITIS:561668","Onychognathus blythii","Onychognathus blythii",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,50,50,0,0,0,0,100
"ITIS:561669","Onychognathus frater","Onychognathus frater",40,0,0,0,0,0,50,10,0,0,"FruiNect",0,0,0,100,0,0,0,0,0,100
"ITIS:561670","Onychognathus fulgidus","Onychognathus fulgidus",10,0,0,0,0,0,30,0,60,0,"PlantSeed",0,0,0,50,50,0,0,0,0,109.03
