"Species","fos","ter","aqu","arb","diet_leaves","diet_flowers","diet_seed","diet_fruit","diet_inv","diet_vert","diurnal","nocturnal","crepuscular","wet_warm","wet_cold","dry_warm","dry_cold","bodymass_value","age_at_maturity_min_y","age_at_maturity_max_y","body_size_mm","size_at_maturity_min_mm","size_at_maturity_max_mm","longevity_max_y","litter_size_min_n","litter_size_max_n","reproductive_output_y","offspring_size_min_mm","offspring_size_max_mm","dir","lar","viv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_nect","diet_planto","diet_5cat","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist"
"ITIS:180466",NA,NA,NA,NA,NA,NA,0,0,90,NA,0,1,1,NA,NA,NA,NA,726000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180434",NA,NA,NA,NA,NA,NA,0,0,60,NA,1,1,1,NA,NA,NA,NA,135900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180491",NA,NA,NA,NA,NA,NA,0,0,100,NA,1,1,1,NA,NA,NA,NA,431500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:621919",NA,NA,NA,NA,NA,NA,0,0,30,NA,1,0,0,NA,NA,NA,NA,9483.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,30,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180461",NA,NA,NA,NA,NA,NA,0,0,10,NA,1,1,1,NA,NA,NA,NA,170000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,90,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180492",NA,NA,NA,NA,NA,NA,0,0,100,NA,1,1,1,NA,NA,NA,NA,183066.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180440",NA,NA,NA,NA,NA,NA,0,0,40,NA,1,1,1,NA,NA,NA,NA,164000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180517",NA,NA,NA,NA,NA,NA,0,0,80,NA,1,1,1,NA,NA,NA,NA,2300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180509",NA,NA,NA,NA,NA,NA,0,0,80,NA,1,1,1,NA,NA,NA,NA,5600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180459",NA,NA,NA,NA,NA,NA,0,0,40,NA,1,1,1,NA,NA,NA,NA,206000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
